id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 49553196 ,8661c597-5aba-11e8-911c-28924ad12c5c,    2.872000 ,  -60.894000 ,2009-05-16 18:02:00,Brasil,RORAIMA,BOA VISTA,Amazônia
 49738971 ,8661c76b-5aba-11e8-911c-28924ad12c5c,  -11.992000 ,  -56.784000 ,2009-06-03 17:45:00,Brasil,MATO GROSSO,ITANHANGÁ,Amazônia
 52204550 ,82f49015-5aba-11e8-911c-28924ad12c5c,   -5.659000 ,  -49.824000 ,2009-10-10 16:50:00,Brasil,PARÁ,MARABÁ,Amazônia
 52222178 ,82f490ea-5aba-11e8-911c-28924ad12c5c,  -15.798000 ,  -54.204000 ,2009-10-11 17:30:00,Brasil,MATO GROSSO,POXORÉU,Cerrado
 52270920 ,82f52e82-5aba-11e8-911c-28924ad12c5c,   -3.432000 ,  -51.554000 ,2009-10-14 16:26:00,Brasil,PARÁ,ANAPU,Amazônia
 52579578 ,82f9a53a-5aba-11e8-911c-28924ad12c5c,   -2.649000 ,  -49.061000 ,2009-11-04 16:44:00,Brasil,PARÁ,MOJU,Amazônia
 52674244 ,82fb5045-5aba-11e8-911c-28924ad12c5c,   -4.963000 ,  -56.101000 ,2009-11-11 16:50:00,Brasil,PARÁ,TRAIRÃO,Amazônia
 52843291 ,82fe9cb1-5aba-11e8-911c-28924ad12c5c,   -3.635000 ,  -50.463000 ,2009-11-22 16:32:00,Brasil,PARÁ,PACAJÁ,Amazônia
 52844072 ,82fe9ddf-5aba-11e8-911c-28924ad12c5c,   -3.680000 ,  -50.552000 ,2009-11-22 16:32:00,Brasil,PARÁ,PACAJÁ,Amazônia
 52862506 ,82fe9ea7-5aba-11e8-911c-28924ad12c5c,   -5.703000 ,  -49.075000 ,2009-11-23 17:14:00,Brasil,PARÁ,MARABÁ,Amazônia
 52933371 ,82ffafeb-5aba-11e8-911c-28924ad12c5c,   -3.815000 ,  -51.237000 ,2009-11-27 16:50:00,Brasil,PARÁ,PACAJÁ,Amazônia
 52933789 ,82ffb0b9-5aba-11e8-911c-28924ad12c5c,   -2.877000 ,  -49.490000 ,2009-11-27 16:50:00,Brasil,PARÁ,BAIÃO,Amazônia
 52934943 ,83004300-5aba-11e8-911c-28924ad12c5c,   -4.455000 ,  -48.681000 ,2009-11-27 16:50:00,Brasil,PARÁ,RONDON DO PARÁ,Amazônia
